album_id,title,release_date,year,total_tracks
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1963,1963,14
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1963,1963,14
8f7d816a-81f5-4fe5-a625-3aeb363dc8fb,With The Beatles,1963,1963,14
932d3dda-31ae-4832-b072-db181537ae55,Please Please Me,1963,1963,14
a90a50a1-b277-4df0-8229-3ff3c7f9a775,With The Beatles,1963,1963,14
b13c7b8f-c04f-435e-80fc-95d15418ec8e,Please Please Me,1963,1963,14
fb7b626f-0509-472b-b9b0-8cf8bd507154,With The Beatles,1963,1963,14
ade577f6-6087-4a4f-8e87-38b0f8169814,Please Please Me,1963-03-22,1963,14
3fba454c-3f6d-4a47-8b27-2ad00a81ca16,Please Please Me,1963-04,1963,14
fdab6b1b-fec0-4e3a-9041-f60fe4479d0a,Please Please Me,1963-04,1963,14
3a685770-7326-34fc-9f18-e5f5626f3dc5,Please Please Me,1963-04-26,1963,14
71e7711d-c3b4-43a7-943c-7922bc37b183,Please Please Me,1963-05,1963,14
a83d1eb2-4c76-4103-ac9b-bd9910aa7a83,Please Please Me,1963-05,1963,14
b0c4e7b2-8501-4d76-a7b2-5fc08c508cf8,Please Please Me,1963-05,1963,14
c197ef6d-a6dc-4c8b-b560-91516e3991dc,Please Please Me,1963-05,1963,14
7a48db1b-6564-4817-b171-b6f3a2af7f16,With The Beatles,1963-11-22,1963,14
a91b9173-b958-401b-9551-b15db0e7bc5d,With The Beatles,1963-11-22,1963,14
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1963-11-25,1963,14
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1964-01-10,1964,12
3538e59b-8ca3-3c21-a454-73cdec8ac2f6,Introducing… The Beatles,1964-01-10,1964,12
57c402b0-9cdc-4354-aac5-f3ad6d4d4078,Introducing… The Beatles,1964-01-10,1964,12
8ae5b091-9e33-4fea-84f0-8ebdebaad184,Introducing… The Beatles,1964-01-10,1964,12
a83ad2da-7a52-43e8-a13b-8caa29913a33,Introducing… The Beatles,1964-01-10,1964,12
fbad1a2f-751b-4905-81d6-3f267b619da5,Introducing… The Beatles,1964-01-10,1964,12
80e9fd70-dbc5-42c9-a012-d3e802ae76a9,Meet The Beatles!,1964-01-20,1964,12
9e2f9f67-cf77-45f9-8c82-0232425f5bb6,Meet The Beatles!,1964-01-20,1964,12
